week,region,country,betaMean,betaStd
2018-03-19/2018-03-25,Middle East,Yemen,1.5705093044330707,0.12637265469081657
2018-03-26/2018-04-01,Middle East,Bahrain,-0.381089208822631,0.08925559274412058
2018-03-26/2018-04-01,Middle East,Iran,-0.9587334057036437,0.09766726991084677
2018-03-26/2018-04-01,Middle East,Iraq,0.8335018366523116,0.0667388863749348
2018-03-26/2018-04-01,Middle East,Israel,-1.5148221303342069,0.11919526170640447
2018-03-26/2018-04-01,Middle East,Jordan,-0.8350952676403561,0.09473049966702089
2018-03-26/2018-04-01,Middle East,Kuwait,0.21252725195693858,0.27457213734669556
2018-03-26/2018-04-01,Middle East,Lebanon,-1.1036803012433243,0.1137950515357319
2018-03-26/2018-04-01,Middle East,Palestine,0.6609024182763648,0.07129142214234721
2018-03-26/2018-04-01,Middle East,Qatar,0.21825197532816645,0.2622930438935697
2018-03-26/2018-04-01,Middle East,Saudi Arabia,-0.6997997694851281,0.0905407554396985
2018-03-26/2018-04-01,Middle East,Syria,2.2094608347005424,0.06429080954781569
2018-03-26/2018-04-01,Middle East,Turkey,-0.26727845575829895,0.0879710851580901
2018-03-26/2018-04-01,Middle East,Yemen,1.625854222073266,0.14517813479290842
2018-04-02/2018-04-08,Middle East,Bahrain,-0.37136268698800345,0.06747092724640232
2018-04-02/2018-04-08,Middle East,Iran,0.6848743155491394,0.051805913003803876
2018-04-02/2018-04-08,Middle East,Iraq,0.4049020932409211,0.05539956496947894
2018-04-02/2018-04-08,Middle East,Israel,-1.4425920640803502,0.08512813250305534
2018-04-02/2018-04-08,Middle East,Jordan,-0.8464213830823728,0.07304049481129732
2018-04-02/2018-04-08,Middle East,Kuwait,0.19525388490416395,0.20966772280137208
2018-04-02/2018-04-08,Middle East,Lebanon,-1.5664775754873201,0.09014900403678332
2018-04-02/2018-04-08,Middle East,Palestine,0.8341999275475577,0.04729412288158894
2018-04-02/2018-04-08,Middle East,Qatar,0.21355099937965602,0.2247159781445806
2018-04-02/2018-04-08,Middle East,Saudi Arabia,-1.1707257643902802,0.08484455360848905
2018-04-02/2018-04-08,Middle East,Syria,2.028447647515269,0.049679479530808514
2018-04-02/2018-04-08,Middle East,Turkey,-0.27386406292283355,0.060623567872762504
2018-04-02/2018-04-08,Middle East,Yemen,1.3102146688144503,0.10831196740604047
2018-04-09/2018-04-15,Middle East,Bahrain,-0.27739391869226787,0.06961394439522432
2018-04-09/2018-04-15,Middle East,Iran,0.4804147612039014,0.05987027462851354
2018-04-09/2018-04-15,Middle East,Iraq,0.3557749258683692,0.058469050053257504
2018-04-09/2018-04-15,Middle East,Israel,-1.271876928163414,0.09355477694391363
2018-04-09/2018-04-15,Middle East,Jordan,-0.9629587543446375,0.0851977346370105
2018-04-09/2018-04-15,Middle East,Kuwait,0.13990962666313358,0.24897191586391365
2018-04-09/2018-04-15,Middle East,Lebanon,-1.4753458227276746,0.09644614272464508
2018-04-09/2018-04-15,Middle East,Palestine,0.8231723178606878,0.0579636931059187
2018-04-09/2018-04-15,Middle East,Qatar,0.13076105458568116,0.24230410820616205
2018-04-09/2018-04-15,Middle East,Saudi Arabia,-0.7188311646134667,0.07601030061472969
2018-04-09/2018-04-15,Middle East,Syria,1.9513541175831213,0.0528901165169531
2018-04-09/2018-04-15,Middle East,Turkey,-0.5282717942284398,0.06914206879695721
2018-04-09/2018-04-15,Middle East,Yemen,1.3532915790050057,0.11934099415736897
2018-04-16/2018-04-22,Middle East,Bahrain,-0.5847048582265473,0.07817292040946726
2018-04-16/2018-04-22,Middle East,Iran,0.2119008941439491,0.06353691137063565
2018-04-16/2018-04-22,Middle East,Iraq,0.23247286662468117,0.06480480989309513
2018-04-16/2018-04-22,Middle East,Israel,-1.6039460351060335,0.10176398993291706
2018-04-16/2018-04-22,Middle East,Jordan,-1.7070670962744159,0.11046346579937136
2018-04-16/2018-04-22,Middle East,Kuwait,0.1861871216318233,0.2264701549506341
2018-04-16/2018-04-22,Middle East,Lebanon,-1.2114053418256718,0.09437028789658762
2018-04-16/2018-04-22,Middle East,Palestine,1.0176063704358942,0.05912326541554734
2018-04-16/2018-04-22,Middle East,Qatar,0.17778499876391876,0.24548482020019144
2018-04-16/2018-04-22,Middle East,Saudi Arabia,-0.31377579331854066,0.07045861098854758
2018-04-16/2018-04-22,Middle East,Syria,2.2025329510515466,0.052173167037357276
2018-04-16/2018-04-22,Middle East,Turkey,-0.2632139709664697,0.0745397452273367
2018-04-16/2018-04-22,Middle East,Yemen,1.6556278930658699,0.1277997910683883
2018-04-23/2018-04-29,Middle East,Bahrain,-0.2010956838574497,0.07398531967080008
2018-04-23/2018-04-29,Middle East,Iran,0.6247629423382386,0.0616627230546919
2018-04-23/2018-04-29,Middle East,Iraq,0.09548512904775698,0.06785619643526362
2018-04-23/2018-04-29,Middle East,Israel,-1.4079109237175407,0.09575664419719551
2018-04-23/2018-04-29,Middle East,Jordan,-1.4963219288492042,0.09620097370029428
2018-04-23/2018-04-29,Middle East,Kuwait,0.24181339130176238,0.2500498493401656
2018-04-23/2018-04-29,Middle East,Lebanon,-1.5859849986749621,0.10492733348756693
2018-04-23/2018-04-29,Middle East,Palestine,0.9877137908451715,0.05778566834482035
