week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Turkey,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Palestine,Qatar,0.275,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Palestine,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Palestine,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Palestine,Turkey,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Palestine,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Qatar,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Qatar,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Qatar,Turkey,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Qatar,Yemen,0.0225,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Saudi Arabia,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Saudi Arabia,Turkey,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Saudi Arabia,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Syria,Turkey,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Syria,Yemen,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Turkey,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Iran,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Iraq,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Israel,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Jordan,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Kuwait,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Lebanon,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Palestine,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Qatar,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Turkey,0.0025,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Bahrain,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Iraq,0.9475,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Israel,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Jordan,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Kuwait,0.275,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Lebanon,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Palestine,0.415,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Qatar,0.2825,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Turkey,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iran,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Israel,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Jordan,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Kuwait,0.1325,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Lebanon,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Palestine,0.0425,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Qatar,0.155,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Turkey,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Iraq,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Jordan,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Kuwait,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Lebanon,0.25,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Palestine,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Qatar,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Saudi Arabia,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Turkey,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Israel,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Kuwait,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Lebanon,0.9925,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Palestine,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Qatar,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Saudi Arabia,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Turkey,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Jordan,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Lebanon,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Palestine,0.725,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Qatar,0.5225,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Turkey,0.995,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Kuwait,Yemen,0.01,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Palestine,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Qatar,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Saudi Arabia,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Turkey,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Lebanon,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Palestine,Qatar,0.335,True
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Palestine,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Palestine,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Palestine,Turkey,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Palestine,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Qatar,Saudi Arabia,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Qatar,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Qatar,Turkey,0.9975,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Qatar,Yemen,0.0075,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Saudi Arabia,Syria,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Saudi Arabia,Turkey,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Saudi Arabia,Yemen,0.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Syria,Turkey,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Syria,Yemen,1.0,False
2018-01-22/2018-01-28,Middle East,3.8168345815297826,Turkey,Yemen,0.0,False
