week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap,entropyReliable
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Libya,Morocco,1.0,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Libya,Sudan,0.995,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Libya,Tunisia,1.0,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Morocco,Sudan,0.0025,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Morocco,Tunisia,0.015,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Sudan,Tunisia,0.7575,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Algeria,Egypt,0.06,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Algeria,Libya,0.0,False,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Algeria,Morocco,0.7225,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Algeria,Sudan,0.025,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Algeria,Tunisia,0.53,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Egypt,Libya,0.03,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Egypt,Morocco,0.99,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Egypt,Sudan,0.45,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Egypt,Tunisia,0.965,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Libya,Morocco,1.0,False,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Libya,Sudan,0.9625,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Libya,Tunisia,1.0,False,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Morocco,Sudan,0.01,False,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Morocco,Tunisia,0.3375,True,True
2018-03-05/2018-03-11,Northern Africa,3.0077163392100053,Sudan,Tunisia,0.9725,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Algeria,Egypt,0.6925,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Algeria,Libya,0.0,False,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Algeria,Morocco,0.29,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Algeria,Sudan,0.035,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Algeria,Tunisia,0.2025,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Egypt,Libya,0.0,False,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Egypt,Morocco,0.1525,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Egypt,Sudan,0.0125,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Egypt,Tunisia,0.0975,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Libya,Morocco,1.0,False,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Libya,Sudan,0.99,False,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Libya,Tunisia,1.0,False,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Morocco,Sudan,0.105,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Morocco,Tunisia,0.3675,True,True
2018-03-12/2018-03-18,Northern Africa,3.2622027662507205,Sudan,Tunisia,0.7775,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Algeria,Egypt,0.99,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Algeria,Libya,0.0075,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Algeria,Morocco,1.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Algeria,Sudan,0.0325,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Algeria,Tunisia,0.9375,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Egypt,Libya,0.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Egypt,Morocco,0.925,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Egypt,Sudan,0.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Egypt,Tunisia,0.145,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Libya,Morocco,1.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Libya,Sudan,0.7925,True,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Libya,Tunisia,1.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Morocco,Sudan,0.0,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Morocco,Tunisia,0.015,False,True
2018-03-19/2018-03-25,Northern Africa,1.6508439703135038,Sudan,Tunisia,1.0,False,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Algeria,Egypt,0.5325,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Algeria,Libya,0.2375,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Algeria,Morocco,0.71,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Algeria,Sudan,0.2,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Algeria,Tunisia,0.88,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Egypt,Libya,0.0075,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Egypt,Morocco,0.8725,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Egypt,Sudan,0.005,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Egypt,Tunisia,0.9975,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Libya,Morocco,1.0,False,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Libya,Sudan,0.4,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Libya,Tunisia,1.0,False,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Morocco,Sudan,0.0,False,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Morocco,Tunisia,0.96,True,True
2018-03-26/2018-04-01,Northern Africa,2.932360778962836,Sudan,Tunisia,1.0,False,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Algeria,Egypt,0.54,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Algeria,Libya,0.6,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Algeria,Morocco,0.535,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Algeria,Sudan,0.5025,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Algeria,Tunisia,0.7375,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Egypt,Libya,0.525,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Egypt,Morocco,0.525,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Egypt,Sudan,0.4975,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Egypt,Tunisia,0.6225,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Libya,Morocco,0.515,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Libya,Sudan,0.41,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Libya,Tunisia,0.695,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Morocco,Sudan,0.4625,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Morocco,Tunisia,0.5925,True,True
2018-04-02/2018-04-08,Northern Africa,5.118834854612419,Sudan,Tunisia,0.7725,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Algeria,Egypt,0.995,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Algeria,Libya,0.9775,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Algeria,Morocco,1.0,False,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Algeria,Sudan,0.4025,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Algeria,Tunisia,1.0,False,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Egypt,Libya,0.2975,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Egypt,Morocco,0.9775,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Egypt,Sudan,0.0025,False,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Egypt,Tunisia,0.6925,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Libya,Morocco,0.9925,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Libya,Sudan,0.02,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Libya,Tunisia,0.8575,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Morocco,Sudan,0.0,False,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Morocco,Tunisia,0.1,True,True
2018-04-09/2018-04-15,Northern Africa,2.6485291688749983,Sudan,Tunisia,1.0,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Algeria,Egypt,0.5325,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Algeria,Libya,0.7825,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Algeria,Morocco,1.0,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Algeria,Sudan,0.02,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Algeria,Tunisia,0.6425,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Egypt,Libya,0.7975,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Egypt,Morocco,1.0,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Egypt,Sudan,0.01,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Egypt,Tunisia,0.6425,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Libya,Morocco,0.995,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Libya,Sudan,0.0025,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Libya,Tunisia,0.3,True,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Morocco,Sudan,0.0,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Morocco,Tunisia,0.005,False,True
2018-04-16/2018-04-22,Northern Africa,2.9720480989597564,Sudan,Tunisia,1.0,False,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Algeria,Egypt,0.215,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Algeria,Libya,0.005,False,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Algeria,Morocco,0.0725,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Algeria,Sudan,0.0525,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Algeria,Tunisia,0.965,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Egypt,Libya,0.05,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Egypt,Morocco,0.23,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Egypt,Sudan,0.1225,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Egypt,Tunisia,0.9925,False,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Libya,Morocco,0.7675,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Libya,Sudan,0.705,True,True
