week,region,meanAbsBeta,maxBeta,maxStd,topCountry,secondCountry,firstMinusSecond,meanAbsBetaChange,maxBetaChange,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,PC1,PC2,cluster,clusterLabel
2019-07-08/2019-07-14,Caucasus and Central Asia,1.4852068024740686,3.2088358445442293,0.1347735899390081,Afghanistan,Armenia,1.963015447369321,0.1708096350103485,0.0404384571593801,0.0895833333333333,0.2222222222222222,2.7267476830943043,True,-1.08771777410595,2.133332711038818,1,Acute crisis / escalation
2019-07-15/2019-07-21,Caucasus and Central Asia,1.425913330506643,2.8985038980292552,0.1218525256314383,Afghanistan,Tajikistan,1.617634950796648,-0.0592934719674256,-0.3103319465149741,0.1008333333333333,0.1666666666666666,2.796069446692769,True,-0.8492224520783149,0.7903071693860808,1,Acute crisis / escalation
2019-07-22/2019-07-28,Caucasus and Central Asia,1.341428773141879,2.782565143344873,0.1210277853145981,Afghanistan,Azerbaijan,1.2910293460490607,-0.0844845573647639,-0.1159387546843824,0.0470833333333333,0.1944444444444444,1.8977265700855128,True,-0.9529469028378367,0.4689690911212409,1,Acute crisis / escalation
2019-07-29/2019-08-04,Caucasus and Central Asia,1.1831658833925194,2.409301209506945,0.1231550078479824,Afghanistan,Azerbaijan,1.2165191404274929,-0.1582628897493596,-0.373263933837928,0.1265277777777777,0.1944444444444444,3.475908435047711,True,-0.22607590325393492,-0.11326404426777252,3,Calm / steady-ranking
2019-08-05/2019-08-11,Caucasus and Central Asia,1.179512175481274,2.690615537818037,0.1136016150920273,Afghanistan,Turkmenistan,1.5490489161401058,-0.0036537079112453,0.2813143283110921,0.0879166666666666,0.2222222222222222,2.9054548515860765,True,-0.772489298101221,1.2350199216374094,1,Acute crisis / escalation
2019-08-12/2019-08-18,Caucasus and Central Asia,0.8567735402371518,1.503829763467895,0.1394087443188906,Afghanistan,Azerbaijan,0.7140610569394673,-0.3227386352441223,-1.186785774350142,0.2111111111111111,0.4444444444444444,4.592017391202511,True,1.735036316259325,-1.9627632732820235,0,Contested but quiet
2019-08-19/2019-08-25,Caucasus and Central Asia,1.6249953681609774,3.27164383905933,0.1293865154803213,Afghanistan,Azerbaijan,1.4410003746779918,0.7682218279238257,1.767814075591435,0.0768055555555555,0.2222222222222222,2.675849741736951,True,-2.6361134254981775,4.554161156437854,1,Acute crisis / escalation
2019-08-26/2019-09-01,Caucasus and Central Asia,1.4544150195070469,2.922884125168628,0.1412846273140533,Afghanistan,Uzbekistan,1.2709987900231343,-0.1705803486539305,-0.3487597138907019,0.0776388888888888,0.25,2.3276803560606254,True,-0.5869156966033829,0.3519766460059765,1,Acute crisis / escalation
2019-09-02/2019-09-08,Caucasus and Central Asia,1.3565115522229376,3.1542250866399577,0.0918395643289247,Afghanistan,Azerbaijan,1.5874158684232764,-0.0979034672841092,0.2313409614713295,0.0563888888888889,0.1111111111111111,1.5713270542971969,True,-1.5211145784234048,1.1424345783948813,1,Acute crisis / escalation
2019-09-09/2019-09-15,Caucasus and Central Asia,1.358785183615118,2.820165108745832,0.1147099888950529,Afghanistan,Azerbaijan,1.4152427484637111,0.0022736313921802,-0.334059977894126,0.0473611111111111,0.1944444444444444,1.7254819221520348,True,-0.9944154897004481,0.48428662974759934,1,Acute crisis / escalation
